Date,Cell,Wave_No,Linescan,Condition,Inc_time_min,Animal,Animal_No,filename,Cyto_tau,Cyto_T50,Cyto_DFF0,Cyto_Wave_Speed,Freq_waves_Hz,Cyto_Notes,Blank_SR_col,SR_tau,SR_T50,SR_DFF0,SR_Baseline,SR_Notes,Experiment,For_Analysis,Treatment
2020-01-24,A,W1,LS1,Control,0,CPVT-WT,7562,20200124 P6 CS4 Cell A0001.oib,100.689,53.603,1.264,77.4001,0.25,ONLY Cyto Analysis,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W2,LS1,Control,0,CPVT-WT,7562,20200124 P6 CS4 Cell A0001.oib,99.9,53.115,1.344,97.2333,0.25,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W1,LS4,Fab,3,CPVT-WT,7562,20200124 P6 CS4 Cell A0004.oib,111.884,48.915,0.629,109.006,2.45,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W1,LS4,Fab,3,CPVT-WT,7562,20200124 P6 CS4 Cell A0004.oib,102.083,49.779,0.672,125.4231,2.45,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W2,LS4,Fab,3,CPVT-WT,7562,20200124 P6 CS4 Cell A0004.oib,118.241,50.443,0.624,118.8399,2.45,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W1,LS5,Fab,5,CPVT-WT,7562,20200124 P6 CS4 Cell A0005.oib,100.828,48.167,0.675,111.3677,2.4,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W2,LS5,Fab,5,CPVT-WT,7562,20200124 P6 CS4 Cell A0005.oib,79.273,41.891,0.607,120.4132,2.4,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W3,LS5,Fab,5,CPVT-WT,7562,20200124 P6 CS4 Cell A0005.oib,98.921,46.104,0.638,117.8785,2.4,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W1,LS6,Fab,7,CPVT-WT,7562,20200124 P6 CS4 Cell A0006.oib,86.42,41.592,0.569,102.3748,2.4,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W2,LS6,Fab,7,CPVT-WT,7562,20200124 P6 CS4 Cell A0006.oib,78.366,41.211,0.632,112.111,2.4,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W3,LS6,Fab,7,CPVT-WT,7562,20200124 P6 CS4 Cell A0006.oib,88.149,46.811,0.589,115.4281,2.4,NA,NA,NA,NA,NA,NA,NA,P6 CS4,TRUE,Fab
2020-01-24,A,W1,LS2,Control,0,CPVT-WT,7562,20200124 P6 CS2 Cell A0002.oib,114.575,58.839,1.683,95.4759,0.1,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W2,LS2,Control,0,CPVT-WT,7562,20200124 P6 CS2 Cell A0002.oib,116.226,59.29,1.802,103.8336,0.1,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W1,LS4,Fab,3,CPVT-WT,7562,20200124 P6 CS2 Cell A0004.oib,83.365,44.377,0.849,93.5144,1.7,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W2,LS4,Fab,3,CPVT-WT,7562,20200124 P6 CS2 Cell A0004.oib,85,44.331,1.067,94.7111,1.7,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W1,LS5,Fab,5,CPVT-WT,7562,20200124 P6 CS2 Cell A0005.oib,103.012,50.321,1.09,80.8408,1.25,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W2,LS5,Fab,5,CPVT-WT,7562,20200124 P6 CS2 Cell A0005.oib,101.565,51.399,1.086,80.923,1.25,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W1,LS6,Fab,7,CPVT-WT,7562,20200124 P6 CS2 Cell A0006.oib,115.54,57.531,1.765,86.4489,0.18,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W2,LS6,Fab,7,CPVT-WT,7562,20200124 P6 CS2 Cell A0006.oib,105.564,51.461,1.74,78.2907,0.18,NA,NA,NA,NA,NA,NA,NA,P6 CS2,TRUE,Fab
2020-01-24,A,W1,LS2,Control,0,CPVT-WT,7562,20200124 P5 CS2 Cell A0002.oib,108.038,55.622,1.786,100.5388,0.2,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W2,LS2,Control,0,CPVT-WT,7562,20200124 P5 CS2 Cell A0002.oib,114.61,59.075,1.842,104.3631,0.2,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W1,LS4,Fab,3,CPVT-WT,7562,20200124 P5 CS2 Cell A0004.oib,88.52,47.496,1.336,89.507,0.55,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W2,LS4,Fab,3,CPVT-WT,7562,20200124 P5 CS2 Cell A0004.oib,93.14,48.058,1.486,106.8504,0.55,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W1,LS5,Fab,5,CPVT-WT,7562,20200124 P5 CS2 Cell A0005.oib,100.056,52.727,1.884,95.2967,0.55,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W2,LS5,Fab,5,CPVT-WT,7562,20200124 P5 CS2 Cell A0005.oib,96.887,51.291,1.738,90.6858,0.55,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W3,LS5,Fab,5,CPVT-WT,7562,20200124 P5 CS2 Cell A0005.oib,88.535,49.554,1.777,104.7292,0.55,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W1,LS6,Fab,7,CPVT-WT,7562,20200124 P5 CS2 Cell A0006.oib,90.893,51.725,1.531,105.8415,0.4,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-24,A,W2,LS6,Fab,7,CPVT-WT,7562,20200124 P5 CS2 Cell A0006.oib,96.251,51.377,1.679,92.5365,0.4,NA,NA,NA,NA,NA,NA,NA,P5 CS2,TRUE,Fab
2020-01-28,A,W1,LS1,Control,0,CPVT-HET,7559,20200128 P4 CS2 Cell A0001.oib,115.874,53.294,2.097,89.7099,0.2,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W1,LS2,Control,0,CPVT-HET,7559,20200128 P4 CS2 Cell A0002.oib,121.338,57.039,2.232,93.5737,0.2,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W2,LS2,Control,0,CPVT-HET,7559,20200128 P4 CS2 Cell A0002.oib,105.165,48.825,2.179,101.9197,0.2,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W1,LS4,Fab,3,CPVT-HET,7559,20200128 P4 CS2 Cell A0004.oib,78.354,35.775,1.058,130.4321,3.6,no possible to calculate wave paramters,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W2,LS4,Fab,3,CPVT-HET,7559,20200128 P4 CS2 Cell A0004.oib,77.509,37.279,1.156,147.2495,3.6,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W3,LS4,Fab,3,CPVT-HET,7559,20200128 P4 CS2 Cell A0004.oib,93.376,37.914,1.144,134.2786,3.6,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W1,LS5,Fab,5,CPVT-HET,7559,20200128 P4 CS2 Cell A0005.oib,85.369,37.619,1.27,92.4277,2.75,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W2,LS5,Fab,5,CPVT-HET,7559,20200128 P4 CS2 Cell A0005.oib,74.274,37.676,1.546,112.6021,2.75,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W3,LS5,Fab,5,CPVT-HET,7559,20200128 P4 CS2 Cell A0005.oib,79.087,38.536,1.447,98.5531,2.75,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W1,LS6,Fab,7,CPVT-HET,7559,20200128 P4 CS2 Cell A0006.oib,90.246,45.711,1.848,74.8975,0.7,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W2,LS6,Fab,7,CPVT-HET,7559,20200128 P4 CS2 Cell A0006.oib,90.694,45.335,1.775,103.5056,0.7,NA,NA,NA,NA,NA,NA,NA,P4 CS2,TRUE,Fab
2020-01-28,A,W1,LS1,Control,0,CPVT-HET,7559,20200128 P4 CS3 Cell A0001.oib,117.287,54.776,1.933,106.0148,0.25,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W1,LS2,Control,0,CPVT-HET,7559,20200128 P4 CS3 Cell A0002.oib,125.393,60.013,2.65,122.3102,0.15,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W2,LS2,Control,0,CPVT-HET,7559,20200128 P4 CS3 Cell A0002.oib,143.071,65.392,1.799,102.4457,0.15,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W1,LS4,Fab,3,CPVT-HET,7559,20200128 P4 CS3 Cell A0004.oib,97.78,44.182,1.06,146.7777,3.15,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W2,LS4,Fab,3,CPVT-HET,7559,20200128 P4 CS3 Cell A0004.oib,97.355,43.714,1.113,141.5922,3.15,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W3,LS4,Fab,3,CPVT-HET,7559,20200128 P4 CS3 Cell A0004.oib,88.724,38.153,1.178,129.5119,3.15,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W1,LS5,Fab,5,CPVT-HET,7559,20200128 P4 CS3 Cell A0005.oib,107.787,52.449,1.449,108.8087,1.5,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W2,LS5,Fab,5,CPVT-HET,7559,20200128 P4 CS3 Cell A0005.oib,95.709,46.161,1.434,98.8765,1.5,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W3,LS5,Fab,5,CPVT-HET,7559,20200128 P4 CS3 Cell A0005.oib,107.812,52.171,1.786,114.7187,1.5,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W1,LS6,Fab,7,CPVT-HET,7559,20200128 P4 CS3 Cell A0006.oib,103.143,45.366,2.097,95.5091,0.55,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-28,A,W2,LS6,Fab,7,CPVT-HET,7559,20200128 P4 CS3 Cell A0006.oib,132.401,59.414,1.784,102.5071,0.55,NA,NA,NA,NA,NA,NA,NA,P4 CS3,TRUE,Fab
2020-01-29,A,W1,LS1,Control,0,CPVT-WT,7690,20200129 P3 CS2 Cell A0001.oib,129.04,58.641,2.522,96.3282,0.05,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W1,LS2,Control,0,CPVT-WT,7690,20200129 P3 CS2 Cell A0002.oib,126.142,59.802,2.482,102.6771,0.1,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W1,LS4,Fab,3,CPVT-WT,7690,20200129 P3 CS2 Cell A0004.oib,74.798,38.316,1.261,116.3355,1.75,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W2,LS4,Fab,3,CPVT-WT,7690,20200129 P3 CS2 Cell A0004.oib,79.247,45.624,1.196,125.2812,1.75,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W3,LS4,Fab,3,CPVT-WT,7690,20200129 P3 CS2 Cell A0004.oib,80.164,41.037,1.424,123.0238,1.75,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W1,LS5,Fab,5,CPVT-WT,7690,20200129 P3 CS2 Cell A0005.oib,78.259,42.261,1.505,98.558,1.6,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W2,LS5,Fab,5,CPVT-WT,7690,20200129 P3 CS2 Cell A0005.oib,89.912,47.018,1.361,124.2857,1.6,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W3,LS5,Fab,5,CPVT-WT,7690,20200129 P3 CS2 Cell A0005.oib,89.425,44.397,1.657,108.1264,1.6,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W1,LS6,Fab,7,CPVT-WT,7690,20200129 P3 CS2 Cell A0006.oib,85.273,46.174,1.881,114.5352,1.1,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W2,LS6,Fab,7,CPVT-WT,7690,20200129 P3 CS2 Cell A0006.oib,88.642,43.795,1.901,116.5815,1.1,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W3,LS6,Fab,7,CPVT-WT,7690,20200129 P3 CS2 Cell A0006.oib,84.445,43.761,1.83,126.9039,1.1,NA,NA,NA,NA,NA,NA,NA,P3 CS2,TRUE,Fab
2020-01-29,A,W1,LS1,Control,0,CPVT-WT,7690,20200129 P5 CS3 Cell A0001.oib,127.724,61.501,3.033,114.1901,0.1,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS2,Control,0,CPVT-WT,7690,20200129 P5 CS3 Cell A0002.oib,135.125,64.287,2.896,112.4687,0.1,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W2,LS2,Control,0,CPVT-WT,7690,20200129 P5 CS3 Cell A0002.oib,130.201,60.415,2.732,101.1213,0.1,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS4,cAMP,3,CPVT-WT,7690,20200129 P5 CS3 Cell A0004.oib,119.879,59.54,3.035,108.04,0.1,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS5,cAMP,3,CPVT-WT,7690,20200129 P5 CS3 Cell A0005.oib,131.397,63.511,2.369,107.8447,0.1,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS6,cAMP,5,CPVT-WT,7690,20200129 P5 CS3 Cell A0006.oib,99.283,46.004,3.333,97.2872,0.2,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W2,LS6,cAMP,5,CPVT-WT,7690,20200129 P5 CS3 Cell A0006.oib,92.862,45.993,3.272,105.9854,0.2,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS7,cAMP,5,CPVT-WT,7690,20200129 P5 CS3 Cell A0007.oib,91.807,43.951,3.361,103.5004,0.3,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W2,LS7,cAMP,5,CPVT-WT,7690,20200129 P5 CS3 Cell A0007.oib,89.28,45.696,3.186,113.2552,0.3,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS8,cAMP,7,CPVT-WT,7690,20200129 P5 CS3 Cell A0008.oib,96.239,46.172,2.853,104.9652,0.3,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W2,LS8,cAMP,7,CPVT-WT,7690,20200129 P5 CS3 Cell A0008.oib,96.905,45.757,3.134,129.7551,0.3,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS9,cAMP,7,CPVT-WT,7690,20200129 P5 CS3 Cell A0009.oib,90.263,42.04,3.244,108.4818,0.25,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W2,LS9,cAMP,7,CPVT-WT,7690,20200129 P5 CS3 Cell A0009.oib,84.996,41.906,3.305,105.3356,0.25,NA,NA,NA,NA,NA,NA,NA,P5 CS3,TRUE,cAMP
2020-01-29,A,W1,LS1,Control,0,CPVT-WT,7690,20200129 P6 CS1 Cell A0001.oib,97.281,43.508,2.087,85.9616,0.1,NA,NA,NA,NA,NA,NA,NA,P6 CS1,TRUE,cAMP
